group,customers,instance,runs,avg_evaluations,avg_evaluations_per_worker,avg_workers,min_evaluations,max_evaluations,sum_evaluations
coop,6,6.5.1,10,20956019.20,3492669.87,6.00,20839695,21019307,209560192
coop,6,6.5.2,10,25462302.30,4243717.05,6.00,25347162,25554300,254623023
coop,6,6.5.3,10,21819720.60,3636620.10,6.00,21751411,21884105,218197206
coop,6,6.5.4,10,23431282.80,3905213.80,6.00,23136172,23565783,234312828
coop,6,6.10.1,10,23008649.80,3834774.97,6.00,22786992,23161610,230086498
coop,6,6.10.2,10,22685595.80,3780932.63,6.00,22473807,22809096,226855958
coop,6,6.10.3,10,22444224.10,3740704.02,6.00,22289949,22526870,224442241
coop,6,6.10.4,10,23153289.30,3858881.55,6.00,22227718,23390250,231532893
coop,6,6.20.1,10,26564933.10,4427488.85,6.00,25620309,26843243,265649331
coop,6,6.20.2,10,21752916.00,3625486.00,6.00,21202904,22196274,217529160
coop,6,6.20.3,10,25937749.60,4322958.27,6.00,25204981,26210122,259377496
coop,6,6.20.4,10,25257147.60,4209524.60,6.00,24423677,25569554,252571476
coop,10,10.5.1,10,30992120.40,5165353.40,6.00,29889148,31227425,309921204
coop,10,10.5.2,10,32741665.10,5456944.18,6.00,31880058,32969096,327416651
coop,10,10.5.3,10,29394940.00,4899156.67,6.00,28461691,29584839,293949400
coop,10,10.5.4,10,33648924.80,5608154.13,6.00,32753916,34120302,336489248
coop,10,10.10.1,10,29678703.90,4946450.65,6.00,28824830,29935926,296787039
coop,10,10.10.2,10,26916160.10,4486026.68,6.00,26212074,27135240,269161601
coop,10,10.10.3,10,29215494.50,4869249.08,6.00,28466205,29468877,292154945
coop,10,10.10.4,10,28639367.60,4773227.93,6.00,27729322,28987255,286393676
coop,10,10.20.1,10,35280640.30,5880106.72,6.00,34318936,35643222,352806403
coop,10,10.20.2,10,42285580.90,7047596.82,6.00,39867390,43309800,422855809
coop,10,10.20.3,10,38886301.30,6481050.22,6.00,38815343,38955045,388863013
coop,10,10.20.4,10,42676571.10,7112761.85,6.00,41691272,43275440,426765711
coop,12,12.5.1,10,33325025.00,5554170.83,6.00,32328620,33806382,333250250
coop,12,12.5.2,10,33473978.00,5578996.33,6.00,32590438,33959942,334739780
coop,12,12.5.3,10,31283289.70,5213881.62,6.00,30234326,31835260,312832897
coop,12,12.5.4,10,32377225.30,5396204.22,6.00,31591563,32755269,323772253
coop,12,12.10.1,10,33127513.40,5521252.23,6.00,33003719,33256846,331275134
coop,12,12.10.2,10,32183273.30,5363878.88,6.00,31066028,32507059,321832733
coop,12,12.10.3,10,30995996.60,5165999.43,6.00,30132309,31678311,309959966
coop,12,12.10.4,10,32105225.70,5350870.95,6.00,31173640,32338597,321052257
coop,12,12.20.1,10,37961185.60,6326864.27,6.00,36149696,38367107,379611856
coop,12,12.20.2,10,42465143.90,7077523.98,6.00,41394667,42938348,424651439
coop,12,12.20.3,10,36297514.50,6049585.75,6.00,35369408,36620430,362975145
coop,12,12.20.4,10,43789917.10,7298319.52,6.00,43626546,43888537,437899171
coop,20,20.5.1,10,32988033.10,5498005.52,6.00,32304101,33213267,329880331
coop,20,20.5.2,10,33221069.30,5536844.88,6.00,32262390,33450744,332210693
coop,20,20.5.3,10,32959623.60,5493270.60,6.00,32481634,33090649,329596236
coop,20,20.5.4,10,33173601.70,5528933.62,6.00,32341542,33381405,331736017
coop,20,20.10.1,10,32049417.70,5341569.62,6.00,30558792,32301825,320494177
coop,20,20.10.2,10,32406967.90,5401161.32,6.00,32178923,32544177,324069679
coop,20,20.10.3,10,32188351.10,5364725.18,6.00,31125320,32423571,321883511
coop,20,20.10.4,10,32214164.40,5369027.40,6.00,31234208,32585354,322141644
coop,20,20.20.1,10,39994312.50,6665718.75,6.00,38944611,40626142,399943125
coop,20,20.20.2,10,39624035.40,6604005.90,6.00,38614208,39892157,396240354
coop,20,20.20.3,10,40198300.30,6699716.72,6.00,38914103,40575201,401983003
coop,20,20.20.4,10,36485539.90,6080923.32,6.00,36209796,36638993,364855399
coop,50,50.10.1,10,73959693.40,12326615.57,6.00,72670104,74340884,739596934
coop,50,50.10.2,10,73685402.00,12280900.33,6.00,72833495,73969251,736854020
coop,50,50.10.3,10,71832600.70,11972100.12,6.00,70753230,72163806,718326007
coop,50,50.10.4,10,71931316.70,11988552.78,6.00,70802223,72286897,719313167
coop,50,50.20.1,10,80141323.70,13356887.28,6.00,78387156,80795472,801413237
coop,50,50.20.2,10,80283430.70,13380571.78,6.00,78863150,80605793,802834307
coop,50,50.20.3,10,78156390.90,13026065.15,6.00,77648423,78380642,781563909
coop,50,50.20.4,10,81626087.50,13604347.92,6.00,80195136,82040639,816260875
coop,50,50.30.1,10,83599376.20,13933229.37,6.00,82321942,83938475,835993762
coop,50,50.30.2,10,84165735.70,14027622.62,6.00,82988301,84495496,841657357
coop,50,50.30.3,10,82798526.70,13799754.45,6.00,81541455,83767130,827985267
coop,50,50.30.4,10,82997071.20,13832845.20,6.00,82461955,83265985,829970712
coop,50,50.40.1,10,80609442.00,13434907.00,6.00,79251252,80938284,806094420
coop,50,50.40.2,10,81071727.30,13511954.55,6.00,79746851,81586779,810717273
coop,50,50.40.3,10,80760885.50,13460147.58,6.00,79708165,81194837,807608855
coop,50,50.40.4,10,81493693.30,13582282.22,6.00,80821179,81708516,814936933
coop,100,100.10.1,10,359493230.50,59915538.42,6.00,357787476,360364343,3594932305
coop,100,100.10.2,10,358298554.20,59716425.70,6.00,355029619,361512736,3582985542
coop,100,100.10.3,10,359403310.60,59900551.77,6.00,357925112,360063081,3594033106
coop,100,100.10.4,10,361164569.30,60194094.88,6.00,360319111,362548328,3611645693
coop,100,100.20.1,10,360606352.00,60101058.67,6.00,358050795,362672172,3606063520
coop,100,100.20.2,10,364859483.80,60809913.97,6.00,364257992,365335076,3648594838
coop,100,100.20.3,10,359004363.50,59834060.58,6.00,357172933,360908511,3590043635
coop,100,100.20.4,10,359574375.80,59929062.63,6.00,356745196,360673775,3595743758
coop,100,100.30.1,10,387507271.80,64584545.30,6.00,386085871,388392960,3875072718
coop,100,100.30.2,10,388021022.30,64670170.38,6.00,383751036,389419421,3880210223
coop,100,100.30.3,10,384174287.50,64029047.92,6.00,381505976,385164481,3841742875
coop,100,100.30.4,10,389897476.70,64982912.78,6.00,388868009,390497726,3898974767
coop,100,100.40.1,10,388040280.60,64673380.10,6.00,386253644,389267696,3880402806
coop,100,100.40.2,10,386364641.50,64394106.92,6.00,384734999,387195246,3863646415
coop,100,100.40.3,10,384724359.50,64120726.58,6.00,382859558,385715763,3847243595
coop,100,100.40.4,10,388221869.40,64703644.90,6.00,386427033,389146567,3882218694
coop,200,200.10.1,10,1155369265.20,192561544.20,6.00,1153530533,1157114630,11553692652
coop,200,200.10.2,10,1150861159.60,191810193.27,6.00,1143663136,1154708134,11508611596
coop,200,200.10.3,10,1162829915.30,193804985.88,6.00,1156586562,1165026494,11628299153
coop,200,200.10.4,10,1152740545.60,192123424.27,6.00,1149350639,1155103481,11527405456
coop,200,200.20.1,10,1144168488.70,190694748.12,6.00,1136822989,1146956268,11441684887
coop,200,200.20.2,10,1144825299.00,190804216.50,6.00,1135013325,1146920102,11448252990
coop,200,200.20.3,10,1143336322.50,190556053.75,6.00,1138317049,1146302849,11433363225
coop,200,200.20.4,10,1149206406.20,191534401.03,6.00,1143773062,1151960085,11492064062
coop,200,200.30.1,10,1159530482.50,193255080.42,6.00,1157063847,1161697502,11595304825
coop,200,200.30.2,10,1167016716.30,194502786.05,6.00,1158280775,1170359772,11670167163
coop,200,200.30.3,10,1186308642.40,197718107.07,6.00,1173566787,1190152974,11863086424
coop,200,200.30.4,10,1176110354.70,196018392.45,6.00,1169386462,1179286025,11761103547
coop,200,200.40.1,10,1231051495.60,205175249.27,6.00,1229879318,1231856278,12310514956
coop,200,200.40.2,10,1231446031.00,205241005.17,6.00,1227185988,1233456379,12314460310
coop,200,200.40.3,10,1228168376.50,204694729.42,6.00,1224855883,1229927682,12281683765
coop,200,200.40.4,10,1231146279.50,205191046.58,6.00,1214392998,1235059863,12311462795
coop,500,500.10.1,10,14476559789.50,2412759964.92,6.00,14407573516,14552023073,144765597895
coop,500,500.10.2,10,14515065064.70,2419177510.78,6.00,14414033867,14594307167,145150650647
coop,500,500.10.3,10,14446894906.00,2407815817.67,6.00,14344366510,14498326065,144468949060
coop,500,500.10.4,10,14414026183.60,2402337697.27,6.00,14327160399,14510061744,144140261836
coop,500,500.20.1,10,14110556485.80,2351759414.30,6.00,14067349733,14157866155,141105564858
coop,500,500.20.2,10,14103604610.50,2350600768.42,6.00,14063864760,14176796745,141036046105
coop,500,500.20.3,10,14014351875.50,2335725312.58,6.00,13930552732,14074745663,140143518755
coop,500,500.20.4,10,14160360866.80,2360060144.47,6.00,14128322414,14190567737,141603608668
coop,500,500.30.1,10,17801899807.10,2966983301.18,6.00,17696526225,17921781983,178018998071
coop,500,500.30.2,10,17870406838.60,2978401139.77,6.00,17763195512,17970436190,178704068386
coop,500,500.30.3,10,17873975360.20,2978995893.37,6.00,17808569788,17934019717,178739753602
coop,500,500.30.4,10,17813628394.70,2968938065.78,6.00,17603291424,17886992893,178136283947
coop,500,500.40.1,10,19754716785.80,3292452797.63,6.00,19707541459,19790209789,197547167858
coop,500,500.40.2,10,19770504828.50,3295084138.08,6.00,19637869197,19828248681,197705048285
coop,500,500.40.3,10,19615769746.20,3269294957.70,6.00,19472511288,19663708606,196157697462
coop,500,500.40.4,10,19793560897.60,3298926816.27,6.00,19759226692,19850982183,197935608976
coop,1000,1000.10.1,5,60665957513.20,10110992918.87,6.00,60447161693,60948511285,303329787566
coop,1000,1000.10.2,5,61256808365.20,10209468060.87,6.00,60993567814,61540538472,306284041826
coop,1000,1000.10.3,5,61270093627.00,10211682271.17,6.00,61084811192,61614359995,306350468135
coop,1000,1000.10.4,5,62142684384.60,10357114064.10,6.00,61935437391,62343039325,310713421923
coop,1000,1000.20.1,5,57283952531.20,9547325421.87,6.00,57058097271,57502335211,286419762656
coop,1000,1000.20.2,5,57379850137.60,9563308356.27,6.00,56748923914,57923996919,286899250688
coop,1000,1000.20.3,5,57791474613.80,9631912435.63,6.00,57560856429,58027715698,288957373069
coop,1000,1000.20.4,5,58566453273.00,9761075545.50,6.00,58360786268,58759408779,292832266365
coop,1000,1000.30.1,5,80234404421.60,13372400736.93,6.00,80058172429,80350357454,401172022108
coop,1000,1000.30.2,5,79615214006.80,13269202334.47,6.00,79191579668,80012508520,398076070034
coop,1000,1000.30.3,5,79785298494.80,13297549749.13,6.00,79559590331,79864223403,398926492474
coop,1000,1000.30.4,5,80166600053.80,13361100008.97,6.00,79863930995,80345994552,400833000269
coop,1000,1000.40.1,5,88231309607.80,14705218267.97,6.00,87948448001,88392609632,441156548039
coop,1000,1000.40.2,5,88334751402.60,14722458567.10,6.00,88256861778,88463191445,441673757013
coop,1000,1000.40.3,5,88298926433.60,14716487738.93,6.00,88070207994,88491758334,441494632168
coop,1000,1000.40.4,5,88007442189.80,14667907031.63,6.00,87849710144,88169613935,440037210949
