n,instance,bks,rpd_sats_pct,rpd_ims_pct,rpd_coop_pct,delta_coop_pct,result,evals_paired_runs,coop_evals,ims_evals,evals_ratio_coop_over_ims,iters_ratio_coop_over_ims,evals_per_iter_ratio_coop_over_ims
6,6.10.1,1078.7476708790684,0.0,0.0,0.0,0.0,tie,10,23008649.8,23012598.4,0.9999836812960449,0.9996864501434104,1.0003053782008298
6,6.10.2,1232.5642370084722,0.0,0.0,0.0,0.0,tie,10,22685595.8,22624596.4,1.002988892138555,1.0032224151172195,0.9997695606366305
6,6.10.3,1230.0423116063364,0.0,0.0,0.0,0.0,tie,10,22444224.1,22422183,1.0010915142970984,1.0007369560793529,1.0003569518519473
6,6.10.4,997.8432105109541,0.0,0.0,0.0,0.0,tie,10,23153289.3,23493389,0.9855907880768955,0.9855879745364614,1.0000091550453138
6,6.20.1,4486.681346181809,0.0,0.0,0.0,0.0,tie,10,26564933.1,26409808,1.0059329866619564,1.0062012328326162,0.9997324503301722
6,6.20.2,4099.787885636016,0.0,0.0,0.0,0.0,tie,10,21752916,22206626.3,0.979738043483114,0.9805274267284029,0.9991953495941196
6,6.20.3,6233.214544913807,0.0,0.0,0.0,0.0,tie,10,25937749.6,25877477.8,1.0024865164921912,1.002426531341494,1.0000592717971342
6,6.20.4,6174.786067461169,0.0,0.0,0.0,0.0,tie,10,25257147.6,25219743.3,1.0015680323738072,1.0015624835481387,1.000002282235464
6,6.5.1,699.6656534991815,0.0,0.0,0.0,0.0,tie,10,20956019.2,20916764,1.002099285597857,1.0027030155632277,0.9993963036803452
6,6.5.2,550.7224677595595,0.0,0.0,0.0,0.0,tie,10,25462302.3,25734033.9,0.989463967839422,0.9896053575429792,0.9998595017791084
6,6.5.3,766.7833863800394,0.0,0.0,0.0,0.0,tie,10,21819720.6,21855260.5,0.9985287283667209,0.9988815897293767,0.9996472752999562
6,6.5.4,579.9713227928262,0.0,0.0,0.0,0.0,tie,10,23431282.8,23639287,0.9912486219433922,0.991470530811665,0.9997781839343964
10,10.10.1,1735.950029753597,0.0,0.0,0.0,0.0,tie,10,29678703.9,29124899.5,1.019112950759123,1.0196004418017894,0.9995268662432446
10,10.10.2,2006.7277325718107,0.0,0.0,0.0,0.0,tie,10,26916160.1,26407373.7,1.0195311425181541,1.0194662236057055,1.0000651186652616
10,10.10.3,1818.1502668036478,-1.2505769165216497e-14,-2.5011538330432994e-14,-2.5011538330432994e-14,0.0,tie,10,29215494.5,28736859.7,1.0168586496331968,1.0166565820446567,1.0001993455440517
10,10.10.4,1359.633305210052,0.0,0.0,0.0,0.0,tie,10,28639367.6,28332505.2,1.0108566050927639,1.0121886718315218,0.9986854678261561
10,10.20.1,5738.066783105984,0.0,0.0,0.0,0.0,tie,10,35280640.3,34501716.1,1.022697461676768,1.0238361050903575,0.9988910336542065
10,10.20.2,6973.407432305421,0.0,0.0,0.0,0.0,tie,10,42285580.9,41266880.5,1.024626843373914,1.024097331914032,1.0005258773901806
10,10.20.3,6468.868414029823,0.0,0.0,0.0,0.0,tie,10,38886301.3,37617766.3,1.0338269817804162,1.0336727246473818,1.0001494015960781
10,10.20.4,6469.04259277102,0.0,0.0,0.0,0.0,tie,10,42676571.1,41493182.9,1.0285994302450483,1.0287511925649453,0.9998462311503262
10,10.5.1,1212.9464832192677,0.0,0.0,0.0,0.0,tie,10,30992120.4,30421691,1.0188693889241514,1.0194573445107102,0.9994173068620968
10,10.5.2,709.2037454135201,-1.603020830852041e-14,-1.603020830852041e-14,-1.603020830852041e-14,0.0,tie,10,32741665.1,32121209.4,1.0195228372449867,1.0201669193909393,0.9993503818833914
10,10.5.3,775.6904789217117,0.0,0.0,0.0,0.0,tie,10,29394940,28840835.6,1.01922672236775,1.0191148313525809,1.0001139350960349
10,10.5.4,745.4251979411413,0.0,0.0,0.0,0.0,tie,10,33648924.8,33189311.2,1.013890907019398,1.014081042392144,0.9998136899842812
12,12.10.1,1669.8569829807207,0.0,-2.7232712473060598e-14,-2.7232712473060598e-14,0.0,tie,10,33127513.4,31990544.5,1.0356477882237907,,
12,12.10.2,1670.91224105981,0.0,-1.3607756880098962e-14,-1.3607756880098962e-14,0.0,tie,10,32183273.3,31150675.3,1.0332764614191663,,
12,12.10.3,1788.491293002548,0.0,-1.2713155290877234e-14,-1.2713155290877234e-14,0.0,tie,10,30995996.6,30499405.7,1.0163252655792014,,
