instance,n,set,Tn,run,seed,bks,ims-final,coop-final,ims-evals,coop-evals
6.10.1,6,held-out,0.01,1,100,1078.7476708790684,1078.7476708790684,,59463,
6.10.1,6,held-out,0.01,2,200,1078.7476708790684,1078.7476708790684,,40807,
6.10.1,6,held-out,0.01,3,300,1078.7476708790684,1078.7476708790684,,145042,
6.10.1,6,held-out,0.01,4,400,1078.7476708790684,1078.7476708790684,,64286,
6.10.1,6,held-out,0.01,5,500,1078.7476708790684,1078.7476708790684,,39989,
6.10.1,6,held-out,0.01,6,600,1078.7476708790684,1078.7476708790684,,121420,
6.10.1,6,held-out,0.01,7,700,1078.7476708790684,1078.7476708790684,,165100,
6.10.1,6,held-out,0.01,8,800,1078.7476708790684,1078.7476708790684,,215799,
6.10.1,6,held-out,0.01,9,900,1078.7476708790684,1078.7476708790684,,90207,
6.10.1,6,held-out,0.01,10,1000,1078.7476708790684,1078.7476708790684,,89388,
6.10.2,6,held-out,0.01,1,100,1232.5642370084722,1232.5642370084722,,41248,
6.10.2,6,held-out,0.01,2,200,1232.5642370084722,1232.5642370084722,,51608,
6.10.2,6,held-out,0.01,3,300,1232.5642370084722,1232.5642370084722,,58194,
6.10.2,6,held-out,0.01,4,400,1232.5642370084722,1232.5642370084722,,45049,
6.10.2,6,held-out,0.01,5,500,1232.5642370084722,1232.5642370084722,,54040,
6.10.2,6,held-out,0.01,6,600,1232.5642370084722,1232.5642370084722,,86528,
6.10.2,6,held-out,0.01,7,700,1232.5642370084722,1232.5642370084722,,40658,
6.10.2,6,held-out,0.01,8,800,1232.5642370084722,1232.5642370084722,,67148,
6.10.2,6,held-out,0.01,9,900,1232.5642370084722,1232.5642370084722,,43851,
6.10.2,6,held-out,0.01,10,1000,1232.5642370084722,1232.5642370084722,,93200,
6.10.3,6,held-out,0.01,1,100,1230.0423116063364,1230.0423116063364,,100930,
6.10.3,6,held-out,0.01,2,200,1230.0423116063364,1230.0423116063364,,78840,
6.10.3,6,held-out,0.01,3,300,1230.0423116063364,1230.0423116063364,,109833,
6.10.3,6,held-out,0.01,4,400,1230.0423116063364,1230.0423116063364,,41268,
6.10.3,6,held-out,0.01,5,500,1230.0423116063364,1230.0423116063364,,48295,
6.10.3,6,held-out,0.01,6,600,1230.0423116063364,1230.0423116063364,,219810,
6.10.3,6,held-out,0.01,7,700,1230.0423116063364,1230.0423116063364,,156619,
6.10.3,6,held-out,0.01,8,800,1230.0423116063364,1230.0423116063364,,72428,
6.10.3,6,held-out,0.01,9,900,1230.0423116063364,1230.0423116063364,,102271,
6.10.3,6,held-out,0.01,10,1000,1230.0423116063364,1230.0423116063364,,105834,
6.10.4,6,held-out,0.01,1,100,997.8432105109541,997.8432105109541,,66505,
6.10.4,6,held-out,0.01,2,200,997.8432105109541,997.8432105109541,,103198,
6.10.4,6,held-out,0.01,3,300,997.8432105109541,997.8432105109541,,44628,
6.10.4,6,held-out,0.01,4,400,997.8432105109541,997.8432105109541,,48756,
6.10.4,6,held-out,0.01,5,500,997.8432105109541,997.8432105109541,,43101,
6.10.4,6,held-out,0.01,6,600,997.8432105109541,997.8432105109541,,143503,
6.10.4,6,held-out,0.01,7,700,997.8432105109541,997.8432105109541,,49365,
6.10.4,6,held-out,0.01,8,800,997.8432105109541,997.8432105109541,,60798,
6.10.4,6,held-out,0.01,9,900,997.8432105109541,997.8432105109541,,158440,
6.10.4,6,held-out,0.01,10,1000,997.8432105109541,997.8432105109541,,42155,
6.20.1,6,held-out,0.01,1,100,4486.681346181809,4486.681346181809,,109911,
6.20.1,6,held-out,0.01,2,200,4486.681346181809,4486.681346181809,,45153,
6.20.1,6,held-out,0.01,3,300,4486.681346181809,4486.681346181809,,53495,
6.20.1,6,held-out,0.01,4,400,4486.681346181809,4486.681346181809,,172548,
6.20.1,6,held-out,0.01,5,500,4486.681346181809,4486.681346181809,,119173,
6.20.1,6,held-out,0.01,6,600,4486.681346181809,4486.681346181809,,116863,
6.20.1,6,held-out,0.01,7,700,4486.681346181809,4486.681346181809,,114651,
6.20.1,6,held-out,0.01,8,800,4486.681346181809,4486.681346181809,,51135,
6.20.1,6,held-out,0.01,9,900,4486.681346181809,4486.681346181809,,66959,
6.20.1,6,held-out,0.01,10,1000,4486.681346181809,4486.681346181809,,47481,
6.20.2,6,held-out,0.01,1,100,4099.787885636016,4099.787885636016,,40695,
6.20.2,6,held-out,0.01,2,200,4099.787885636016,4099.787885636016,,44618,
6.20.2,6,held-out,0.01,3,300,4099.787885636016,4099.787885636016,,45717,
6.20.2,6,held-out,0.01,4,400,4099.787885636016,4099.787885636016,,58622,
6.20.2,6,held-out,0.01,5,500,4099.787885636016,4099.787885636016,,128239,
6.20.2,6,held-out,0.01,6,600,4099.787885636016,4099.787885636016,,52461,
6.20.2,6,held-out,0.01,7,700,4099.787885636016,4099.787885636016,,35869,
6.20.2,6,held-out,0.01,8,800,4099.787885636016,4099.787885636016,,158886,
6.20.2,6,held-out,0.01,9,900,4099.787885636016,4099.787885636016,,44284,
6.20.2,6,held-out,0.01,10,1000,4099.787885636016,4099.787885636016,,44184,
6.20.3,6,held-out,0.01,1,100,6233.214544913807,6233.214544913807,,157214,
6.20.3,6,held-out,0.01,2,200,6233.214544913807,6233.214544913807,,69194,
6.20.3,6,held-out,0.01,3,300,6233.214544913807,6233.214544913807,,119756,
6.20.3,6,held-out,0.01,4,400,6233.214544913807,6233.214544913807,,105861,
6.20.3,6,held-out,0.01,5,500,6233.214544913807,6233.214544913807,,77390,
6.20.3,6,held-out,0.01,6,600,6233.214544913807,6233.214544913807,,60144,
6.20.3,6,held-out,0.01,7,700,6233.214544913807,6233.214544913807,,122257,
6.20.3,6,held-out,0.01,8,800,6233.214544913807,6233.214544913807,,226747,
6.20.3,6,held-out,0.01,9,900,6233.214544913807,6233.214544913807,,45342,
6.20.3,6,held-out,0.01,10,1000,6233.214544913807,6233.214544913807,,47103,
6.20.4,6,held-out,0.01,1,100,6174.786067461169,6174.786067461169,,158097,
6.20.4,6,held-out,0.01,2,200,6174.786067461169,6174.786067461169,,237999,
6.20.4,6,held-out,0.01,3,300,6174.786067461169,6174.786067461169,,113827,
6.20.4,6,held-out,0.01,4,400,6174.786067461169,6174.786067461169,,43992,
6.20.4,6,held-out,0.01,5,500,6174.786067461169,6174.786067461169,,144003,
6.20.4,6,held-out,0.01,6,600,6174.786067461169,6174.786067461169,,56879,
6.20.4,6,held-out,0.01,7,700,6174.786067461169,6174.786067461169,,49979,
6.20.4,6,held-out,0.01,8,800,6174.786067461169,6174.786067461169,,46060,
6.20.4,6,held-out,0.01,9,900,6174.786067461169,6174.786067461169,,45523,
6.20.4,6,held-out,0.01,10,1000,6174.786067461169,6174.786067461169,,154423,
6.5.1,6,held-out,0.01,1,100,699.6656534991815,699.6656534991815,,200459,
6.5.1,6,held-out,0.01,2,200,699.6656534991815,699.6656534991815,,124958,
6.5.1,6,held-out,0.01,3,300,699.6656534991815,699.6656534991815,,62202,
6.5.1,6,held-out,0.01,4,400,699.6656534991815,699.6656534991815,,89217,
6.5.1,6,held-out,0.01,5,500,699.6656534991815,699.6656534991815,,36113,
6.5.1,6,held-out,0.01,6,600,699.6656534991815,699.6656534991815,,36254,
