instance,n,set,Tn,run,seed,bks,ims-final,coop-final,delta_coop,ims-evals,coop-evals
6.10.1,6,held-out,1.0,1,100,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22762790,23119485
6.10.1,6,held-out,1.0,2,200,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,23598601,23161610
6.10.1,6,held-out,1.0,3,300,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22784873,23049437
6.10.1,6,held-out,1.0,4,400,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22838909,23030857
6.10.1,6,held-out,1.0,5,500,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22778761,23004202
6.10.1,6,held-out,1.0,6,600,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,23197135,22904895
6.10.1,6,held-out,1.0,7,700,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22908177,22786992
6.10.1,6,held-out,1.0,8,800,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22815907,22861313
6.10.1,6,held-out,1.0,9,900,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,23535148,23026880
6.10.1,6,held-out,1.0,10,1000,1078.7476708790684,1078.7476708790684,1078.7476708790684,0.0,22905683,23140827
6.10.2,6,held-out,1.0,1,100,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22730326,22634367
6.10.2,6,held-out,1.0,2,200,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22664689,22757196
6.10.2,6,held-out,1.0,3,300,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22754959,22697934
6.10.2,6,held-out,1.0,4,400,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22196279,22693695
6.10.2,6,held-out,1.0,5,500,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22860851,22809096
6.10.2,6,held-out,1.0,6,600,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22207037,22721692
6.10.2,6,held-out,1.0,7,700,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22674917,22690567
6.10.2,6,held-out,1.0,8,800,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22821956,22602903
6.10.2,6,held-out,1.0,9,900,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,23301657,22473807
6.10.2,6,held-out,1.0,10,1000,1232.5642370084722,1232.5642370084722,1232.5642370084722,0.0,22033293,22774701
6.10.3,6,held-out,1.0,1,100,1230.0423116063364,1230.0423116063364,1230.0423116063364,0.0,22685954,22516293
6.10.3,6,held-out,1.0,2,200,1230.0423116063364,1230.0423116063364,1230.0423116063364,0.0,22285918,22448176
6.10.3,6,held-out,1.0,3,300,1230.0423116063364,1230.0423116063364,1230.0423116063364,0.0,21913451,22472536
6.10.3,6,held-out,1.0,4,400,1230.0423116063364,1230.0423116063364,1230.0423116063364,0.0,22711591,22526870
6.10.3,6,held-out,1.0,5,500,1230.0423116063364,1230.0423116063364,1230.0423116063364,0.0,22632811,22510748
