n,avg_rpd_sats_pct,avg_rpd_ims_pct,avg_rpd_coop_pct,avg_delta_coop_pct,coop_wins,coop_ties,coop_losses,evals_ratio_coop_over_ims,iters_ratio_coop_over_ims,evals_per_iter_ratio_coop_over_ims,coop_bks_wins,coop_bks_ties,coop_bks_losses,avg_bks_gain_pct
6,0.0,0.0,0.0,0.0,0/12,12/12,0/12,0.9967267548805879,0.9968843303311954,0.9998426386987848,0/12,12/12,0/12,
10,-2.377998122811409e-15,-3.420145553246117e-15,-3.420145553246117e-15,0.0,0/12,12/12,0/12,1.020634993386306,1.0209241175955637,0.9997153879912758,0/12,12/12,0/12,
12,1.310832461887088e-15,-6.586166316792466e-15,-6.586166316792466e-15,0.0,0/12,12/12,0/12,1.0279175083475132,,,0/12,12/12,0/12,
20,1.827653821626479e-15,0.0,0.0,0.0,0/12,12/12,0/12,1.0375290179215158,,,0/12,12/12,0/12,
50,0.8178222994360348,-0.06415696982926318,-0.12529899945875483,0.061142029629491654,7/16,8/16,1/16,1.0326816395902827,,,7/16,9/16,0/16,0.7685160727027367
100,0.264538717446391,-0.10169591578202618,-0.3047395626571912,0.20304364687516502,14/16,2/16,0/16,1.0180493971474678,,,13/16,3/16,0/16,0.784152089520897
200,0.7051804388474683,-0.5920655682256647,-1.3943933694974013,0.8023278012717366,13/16,2/16,1/16,1.0284409532180363,0.0,,14/16,2/16,0/16,2.8813780620289107
500,0.4039721479859189,-0.24367242974016046,-0.6525460560012836,0.4088736262611231,16/16,0/16,0/16,0.9997889882600036,,,16/16,0/16,0/16,1.2333754043143155
1000,-0.2211552670883401,-0.8180383307225711,-1.0664520900844157,0.24841375936184462,16/16,0/16,0/16,1.0480323945687198,1.0439685887213275,1.0039161584548963,16/16,0/16,0/16,1.655320847743343
overall,0.2189287040697193,-0.2021810238110773,-0.39371445307767294,0.19153342926659567,66/128,60/128,2/128,1.0233112941467148,0.7654442591620216,1.0011580617149856,66/128,62/128,0/128,1.4645484952620405
held-out,0.21849203956041244,-0.2102686636310214,-0.40558018179173205,0.19531151816071068,62/124,60/124,2/124,1.0233640992937414,0.7654442591620216,1.0011580617149856,62/124,62/124,0/124,1.520887245750249
overall (n>20),0.3940716673254946,-0.3639258428599371,-0.7086860155398094,0.3447601726798722,66/80,12/80,2/80,1.025398674556902,0.5219842943606637,1.0039161584548963,66/80,14/80,0/80,1.4645484952620405
held-out (n>20),0.39328567120874225,-0.3784835945358365,-0.7300443272251157,0.35156073268927923,62/76,12/76,2/76,1.02549372382155,0.5219842943606637,1.0039161584548963,62/76,14/76,0/76,1.520887245750249
