n,instance,run,working_time,bks,rpd_pct
200,200.10.2,1,1481.2085949868858,1461.9667427714203,1.3161621022232803
200,200.10.2,2,1471.2818039624954,1461.9667427714203,0.6371595822635954
200,200.10.2,3,1462.994089892607,1461.9667427714203,0.07027157945051479
200,200.10.2,4,1466.6627348616596,1461.9667427714203,0.3212105961683656
200,200.10.2,5,1469.939218143749,1461.9667427714203,0.5453253578953162
200,200.40.1,1,9467.949294009148,9462.397190153024,0.05867544708334035
200,200.40.1,2,9426.387265773532,9462.397190153024,-0.3805581572602506
200,200.40.1,3,9429.531363542737,9462.397190153024,-0.3473308713408077
200,200.40.1,4,9417.30511497828,9462.397190153024,-0.47653965764265593
200,200.40.1,5,9464.213417626112,9462.397190153024,0.0191941580615281
500,500.10.2,1,1756.3454182042956,1766.7385189018235,-0.5882647933655772
500,500.10.2,2,1761.8564119082198,1766.7385189018235,-0.2763344400640733
500,500.10.2,3,1749.797321490908,1766.7385189018235,-0.9588967031434777
500,500.10.2,4,1758.9138812702045,1766.7385189018235,-0.4428860042335335
500,500.10.2,5,1756.529248782819,1766.7385189018235,-0.5778597121067132
500,500.40.1,1,14170.920158205858,14142.08110414259,0.2039236930611323
500,500.40.1,2,14164.195977911295,14142.08110414259,0.15637637491859196
500,500.40.1,3,14225.486663918558,14142.08110414259,0.5897686426896334
500,500.40.1,4,14137.784265851142,14142.08110414259,-0.030383352066826477
500,500.40.1,5,14104.053166367547,14142.08110414259,-0.2688991633904832
