n,instance,push_strategy,run,total_elite_pushes,accepted_elite_pushes,total_evaluations,push_rate_per_million_evals,accept_pct
200,200.10.2,new-best,1,4212,3487,1164010035,3.61852550523759,82.78727445394112
200,200.10.2,new-best,2,4374,3622,1164012488,3.7576916442841464,82.80749885688158
200,200.10.2,new-best,3,4352,3578,1164012055,3.7387928942024575,82.21507352941177
200,200.10.2,segment-best,1,41,39,1164010035,0.03522306403483884,95.1219512195122
200,200.10.2,segment-best,2,45,45,1164012488,0.03865937905642126,100.0
200,200.10.2,segment-best,3,41,39,1164012055,0.03522300290953602,95.1219512195122
200,200.10.2,significant-best,1,2305,1924,1164010035,1.9802234780561836,83.470715835141
200,200.10.2,significant-best,2,2403,2004,1164012488,2.064410841612895,83.39575530586767
200,200.10.2,significant-best,3,2299,1925,1164012055,1.9750654558298366,83.73205741626795
200,200.40.1,new-best,1,4943,4046,1164019268,4.246493280556246,81.85312563220715
200,200.40.1,new-best,2,5286,4334,1164017299,4.541169623974806,81.99016269390845
200,200.40.1,new-best,3,5266,4183,1164015393,4.5239951564798595,79.4341055829852
200,200.40.1,segment-best,1,32,31,1164019268,0.027490953869674258,96.875
200,200.40.1,segment-best,2,33,33,1164017299,0.028350094133781426,100.0
200,200.40.1,segment-best,3,42,41,1164015393,0.03608199707029132,97.61904761904762
200,200.40.1,significant-best,1,2397,1967,1164019268,2.0592442633002874,82.06090947017105
200,200.40.1,significant-best,2,2413,1963,1164017299,2.072993246812563,81.35101533360961
200,200.40.1,significant-best,3,2471,1991,1164015393,2.122824160968806,80.57466612707405
