n,instance,set,pool_size,run,elite_pool_size,elite_pool_diversity,elite_pool_rpd_pct
200,200.10.2,bo1,2,1,2,0.5713595582278699,0.29106149292034394
200,200.10.2,bo1,2,2,2,0.5380816882078745,0.8107216666747109
200,200.10.2,bo1,2,3,2,0.6114110752521325,0.8206401150453932
200,200.10.2,bo2,3,1,3,0.5440451340092994,0.9314180554033529
200,200.10.2,bo2,3,2,3,0.5253189530832941,0.6604847563430006
200,200.10.2,bo2,3,3,3,0.5897478139011388,0.8350573487581336
200,200.10.2,bo3,3,1,3,0.5440451340092994,0.9314180554033529
200,200.10.2,bo3,3,2,3,0.5253189530832941,0.6604847563430006
200,200.10.2,bo3,3,3,3,0.5897478139011388,0.8350573487581336
200,200.10.2,bo4,4,1,4,0.5325361708972314,0.8273765737950467
200,200.10.2,bo4,4,2,4,0.48909369445141326,0.5844597688823221
200,200.10.2,bo4,4,3,4,0.5567402121237893,1.38606113519753
200,200.40.1,bo1,2,1,2,0.5510866067310936,0.1693529962508111
200,200.40.1,bo1,2,2,2,0.4843169297991382,-0.026736230139559766
200,200.40.1,bo1,2,3,2,0.5401513223064253,-0.12329579574721185
200,200.40.1,bo2,3,1,3,0.5318704555124512,0.20470229789860814
200,200.40.1,bo2,3,2,3,0.46735327319017905,-0.0272948000275326
200,200.40.1,bo2,3,3,3,0.5147348857987969,0.0021494257171318703
200,200.40.1,bo3,3,1,3,0.5318704555124512,0.20470229789860814
200,200.40.1,bo3,3,2,3,0.46735327319017905,-0.0272948000275326
200,200.40.1,bo3,3,3,3,0.5147348857987969,0.0021494257171318703
200,200.40.1,bo4,4,1,4,0.5252430014631334,0.28078239685580175
200,200.40.1,bo4,4,2,4,0.4949756036462139,0.4774491727193737
200,200.40.1,bo4,4,3,4,0.5199837915884041,0.32922453445005356
500,500.10.2,bo1,3,1,3,0.43045683921817773,-0.2594863405232139
500,500.10.2,bo1,3,2,3,0.5112230454246611,-0.7676189530199392
500,500.10.2,bo1,3,3,3,0.568822276789646,0.23592848792288856
500,500.10.2,bo2,4,1,4,0.4611619591806327,-0.1945604769334343
500,500.10.2,bo2,4,2,4,0.5179591910934955,-0.4484493740496258
500,500.10.2,bo2,4,3,4,0.5602020413334176,0.1423801933647435
500,500.10.2,bo3,5,1,5,0.522613600017733,0.45444709153908663
500,500.10.2,bo3,5,2,5,0.5276088185642245,-0.13774337742153378
500,500.10.2,bo3,5,3,5,0.5511225508136525,0.22937868407014236
500,500.10.2,bo4,5,1,5,0.522613600017733,0.45444709153908663
500,500.10.2,bo4,5,2,5,0.5276088185642245,-0.13774337742153378
500,500.10.2,bo4,5,3,5,0.5511225508136525,0.22937868407014236
500,500.40.1,bo1,3,1,3,0.5124520150738039,0.5170476552209874
500,500.40.1,bo1,3,2,3,0.5004419386111442,0.025413677074452606
500,500.40.1,bo1,3,3,3,0.5193603551867921,0.5310783984979041
500,500.40.1,bo2,4,1,4,0.5011667893935129,0.6640584703879446
500,500.40.1,bo2,4,2,4,0.5198637293268504,0.29867975214306813
500,500.40.1,bo2,4,3,4,0.5160380978873286,0.8259829595178122
500,500.40.1,bo3,5,1,5,0.501764646735338,0.8250445688914497
500,500.40.1,bo3,5,2,5,0.5179012047354429,0.5895228716069202
500,500.40.1,bo3,5,3,5,0.49779590057522294,0.677730967449115
500,500.40.1,bo4,5,1,5,0.501764646735338,0.8250445688914497
500,500.40.1,bo4,5,2,5,0.5179012047354429,0.5895228716069202
500,500.40.1,bo4,5,3,5,0.49779590057522294,0.677730967449115
