n,instance,set,pool_size,bks,runs,expected_runs,elite_pool_size,elite_pool_rpd_pct,elite_pool_diversity
200,200.10.2,bo1,2,1461.9667427714203,3,3,2,0.6408077582134827,0.5736174405626256
200,200.10.2,bo2,3,1461.9667427714203,3,3,3,0.8089867201681624,0.5530373003312441
200,200.10.2,bo3,3,1461.9667427714203,3,3,3,0.8089867201681624,0.5530373003312441
200,200.10.2,bo4,4,1461.9667427714203,3,3,4,0.9326324926249663,0.526123359157478
200,200.40.1,bo1,2,9462.397190153024,3,3,2,0.006440323454679829,0.5251849529455523
200,200.40.1,bo2,3,9462.397190153024,3,3,3,0.0598523078627358,0.5046528715004757
200,200.40.1,bo3,3,9462.397190153024,3,3,3,0.0598523078627358,0.5046528715004757
200,200.40.1,bo4,4,9462.397190153024,3,3,4,0.3624853680084097,0.5134007988992505
500,500.10.2,bo1,3,1766.7385189018235,3,3,3,-0.26372560187342153,0.503500720477495
500,500.10.2,bo2,4,1766.7385189018235,3,3,4,-0.16687655253943887,0.5131077305358486
500,500.10.2,bo3,5,1766.7385189018235,3,3,5,0.18202746606256506,0.5337816564652034
500,500.10.2,bo4,5,1766.7385189018235,3,3,5,0.18202746606256506,0.5337816564652034
500,500.40.1,bo1,3,14142.08110414259,3,3,3,0.35784657693111466,0.5107514362905801
500,500.40.1,bo2,4,14142.08110414259,3,3,4,0.596240394016275,0.5123562055358973
500,500.40.1,bo3,5,14142.08110414259,3,3,5,0.6974328026491616,0.5058205840153346
500,500.40.1,bo4,5,14142.08110414259,3,3,5,0.6974328026491616,0.5058205840153346
