n,instance,pull_strategy,accept_strategy,run,final_cost,rpd_pct,pull_accept_count,pull_offer_count,accept_rate_pct
200,200.10.2,random,always,1,1468.090554044777,0.41887486864085344,58,58,100.0
200,200.10.2,random,always,2,1448.7403516363668,-0.904698496080733,60,60,100.0
200,200.10.2,random,always,3,1441.6999526124157,-1.3862688914923775,54,54,100.0
200,200.10.2,random,selective,1,1441.6999526124157,-1.3862688914923775,57,57,100.0
200,200.10.2,random,selective,2,1444.2804667953624,-1.209759118222512,55,55,100.0
200,200.10.2,random,selective,3,1441.6999526124157,-1.3862688914923775,51,51,100.0
200,200.10.2,topk,always,1,1467.1761958308177,0.35633184442499655,62,62,100.0
200,200.10.2,topk,always,2,1457.5062307083242,-0.30510352476557534,59,59,100.0
200,200.10.2,topk,always,3,1441.6999526124157,-1.3862688914923775,53,53,100.0
200,200.10.2,topk,selective,1,1467.1761958308177,0.35633184442499655,62,62,100.0
200,200.10.2,topk,selective,2,1457.5062307083242,-0.30510352476557534,59,59,100.0
200,200.10.2,topk,selective,3,1443.2848845719598,-1.2778579466209816,54,54,100.0
200,200.10.2,rank,always,1,1457.5062307083242,-0.30510352476557534,58,58,100.0
200,200.10.2,rank,always,2,1462.6505771276652,0.04677495980165627,57,57,100.0
200,200.10.2,rank,always,3,1441.6999526124157,-1.3862688914923775,54,54,100.0
200,200.10.2,rank,selective,1,1457.5062307083242,-0.30510352476557534,58,58,100.0
200,200.10.2,rank,selective,2,1462.6505771276652,0.04677495980165627,57,57,100.0
200,200.10.2,rank,selective,3,1441.6999526124157,-1.3862688914923775,53,53,100.0
200,200.10.2,pullcount,always,1,1467.1761958308175,0.356331844424981,60,60,100.0
200,200.10.2,pullcount,always,2,1457.3723717534733,-0.31425961231084604,57,57,100.0
200,200.10.2,pullcount,always,3,1441.6999526124157,-1.3862688914923775,54,54,100.0
200,200.10.2,pullcount,selective,1,1467.1761958308175,0.356331844424981,59,59,100.0
200,200.10.2,pullcount,selective,2,1456.3689610764513,-0.38289391483402313,60,60,100.0
200,200.10.2,pullcount,selective,3,1441.144552318336,-1.42425883188095,55,55,100.0
200,200.40.1,random,always,1,9431.353174834821,-0.32807770266194614,52,52,100.0
200,200.40.1,random,always,2,9401.130239899172,-0.6474781075308167,52,52,100.0
200,200.40.1,random,always,3,9422.059996395888,-0.426289374103976,50,50,100.0
200,200.40.1,random,selective,1,9397.799738065503,-0.6826753389166915,52,52,100.0
200,200.40.1,random,selective,2,9406.331205712964,-0.5925135387299577,51,51,100.0
200,200.40.1,random,selective,3,9443.999462101787,-0.19442988580507561,49,49,100.0
200,200.40.1,topk,always,1,9334.198390904563,-1.3548236950132484,49,49,100.0
200,200.40.1,topk,always,2,9400.228349240226,-0.657009420165683,51,51,100.0
200,200.40.1,topk,always,3,9443.999462101787,-0.19442988580507561,48,48,100.0
200,200.40.1,topk,selective,1,9402.828113272735,-0.6295347329351055,52,52,100.0
200,200.40.1,topk,selective,2,9405.925739874365,-0.5967985611238745,52,52,100.0
200,200.40.1,topk,selective,3,9428.030480755411,-0.36319242055677253,50,50,100.0
200,200.40.1,rank,always,1,9412.165208512355,-0.5308589423084294,53,53,100.0
200,200.40.1,rank,always,2,9408.406774561878,-0.5705786230082482,51,51,100.0
200,200.40.1,rank,always,3,9441.352617867387,-0.2224021235077353,49,49,100.0
200,200.40.1,rank,selective,1,9412.165208512355,-0.5308589423084294,53,53,100.0
200,200.40.1,rank,selective,2,9408.406774561878,-0.5705786230082482,51,51,100.0
200,200.40.1,rank,selective,3,9441.352617867387,-0.2224021235077353,49,49,100.0
200,200.40.1,pullcount,always,1,9411.036887891594,-0.5427831999578023,54,54,100.0
200,200.40.1,pullcount,always,2,9406.371107804258,-0.5920918475824415,46,46,100.0
200,200.40.1,pullcount,always,3,9435.496389329855,-0.2842916047866038,50,50,100.0
200,200.40.1,pullcount,selective,1,9411.036887891594,-0.5427831999578023,54,54,100.0
200,200.40.1,pullcount,selective,2,9405.993297150333,-0.5960846059324925,52,52,100.0
200,200.40.1,pullcount,selective,3,9441.352617867387,-0.2224021235077353,49,49,100.0
500,500.10.2,random,always,1,1744.4023364517159,-1.2642607953095055,69,69,100.0
500,500.10.2,random,always,2,1743.523036018121,-1.314030493778603,76,76,100.0
500,500.10.2,random,always,3,1756.1309406447963,-0.6004045388460015,83,83,100.0
500,500.10.2,random,selective,1,1763.7495833780545,-0.1691781489898608,77,77,100.0
500,500.10.2,random,selective,2,1741.6172722947178,-1.4218995249348256,81,81,100.0
500,500.10.2,random,selective,3,1772.2941540945737,0.314457127260891,90,90,100.0
500,500.10.2,topk,always,1,1752.799320536855,-0.7889791395748148,76,76,100.0
500,500.10.2,topk,always,2,1737.0776631148638,-1.6788480847407128,74,74,100.0
500,500.10.2,topk,always,3,1742.2426879642924,-1.3865000777114036,78,78,100.0
500,500.10.2,topk,selective,1,1767.5316635444754,0.044893153919851256,76,78,97.43589743589743
500,500.10.2,topk,selective,2,1752.112542671364,-0.827851777384164,78,78,100.0
500,500.10.2,topk,selective,3,1763.6289273517643,-0.1760074576283079,87,87,100.0
500,500.10.2,rank,always,1,1751.4491766983933,-0.8653992676252813,76,76,100.0
500,500.10.2,rank,always,2,1743.1311089733224,-1.3362141412513633,82,82,100.0
500,500.10.2,rank,always,3,1749.9489729055224,-0.9503130099148556,82,82,100.0
500,500.10.2,rank,selective,1,1748.7099085037114,-1.0204458783928223,76,77,98.7012987012987
500,500.10.2,rank,selective,2,1740.2793179003236,-1.497629712513796,75,75,100.0
500,500.10.2,rank,selective,3,1753.7990108841627,-0.7323951948307393,84,84,100.0
500,500.10.2,pullcount,always,1,1756.5779148242334,-0.5751051425485262,76,76,100.0
500,500.10.2,pullcount,always,2,1735.821916742166,-1.749925177319095,73,73,100.0
500,500.10.2,pullcount,always,3,1752.705238145142,-0.7943043413919776,78,78,100.0
500,500.10.2,pullcount,selective,1,1749.5916093079213,-0.970540315414665,74,75,98.66666666666667
500,500.10.2,pullcount,selective,2,1756.7728192866143,-0.5640732631676392,86,86,100.0
500,500.10.2,pullcount,selective,3,1762.7860525264116,-0.2237154130690856,89,89,100.0
500,500.40.1,random,always,1,14053.20737386805,-0.6284345961536449,48,48,100.0
500,500.40.1,random,always,2,14083.974944609625,-0.41087417831272305,48,48,100.0
500,500.40.1,random,always,3,14097.050609200614,-0.31841491086332757,41,41,100.0
500,500.40.1,random,selective,1,14143.565107021772,0.010493525445470647,56,57,98.24561403508771
500,500.40.1,random,selective,2,14104.55473619885,-0.26535251542820615,46,53,86.79245283018868
