n,instance,pull_strategy,bks,always_runs,selective_runs,expected_runs,always_rpd_pct,selective_rpd_pct,delta_acc_pct,selective_ar_pct
200,200.10.2,random,1461.9667427714203,10,10,3,-0.36762214096285034,-0.5286804754221128,0.1610583344592625,38.21428571428571
200,200.10.2,topk,1461.9667427714203,10,10,3,-0.478164182734816,-0.42289006283074904,-0.05527411990406694,48.167539267015705
200,200.10.2,rank,1461.9667427714203,10,10,3,-0.40193004138919874,-0.7942161917324402,0.39228615034324144,43.77224199288256
200,200.10.2,pullcount,1461.9667427714203,10,10,3,-0.41285420240696163,-0.4527313171823914,0.03987711477542977,42.33449477351917
200,200.40.1,random,9462.397190153024,10,10,3,-0.5146414625491961,-0.49252569676853386,-0.02211576578066221,57.11252653927813
200,200.40.1,topk,9462.397190153024,10,10,3,-0.5240719512668062,-0.563977790193502,0.03990583892669586,53.86221294363257
200,200.40.1,rank,9462.397190153024,10,10,3,-0.6367887564489024,-0.5359530901234848,-0.10083566632541763,60.887949260042284
200,200.40.1,pullcount,9462.397190153024,10,10,3,-0.5116919092696376,-0.4620674183421256,-0.04962449092751198,63.50210970464135
500,500.10.2,random,1766.7385189018235,6,6,3,-0.5179818054304897,-0.8281729251276152,0.31019111969712554,41.201716738197426
500,500.10.2,topk,1766.7385189018235,6,6,3,-0.8162014993731455,-0.780671075122961,-0.03553042425018449,56.59574468085107
500,500.10.2,rank,1766.7385189018235,6,6,3,-0.6539201184205723,-1.170040752460397,0.5161206340398248,48.82226980728051
500,500.10.2,pullcount,1766.7385189018235,6,6,3,-0.8498199943492631,-1.2787471464563103,0.4289271521070471,49.23413566739606
500,500.40.1,random,14142.08110414259,6,6,3,-0.2546150218974334,-0.41835460439137584,0.16373958249394244,48.6013986013986
500,500.40.1,topk,14142.08110414259,6,6,3,-0.34820692614622567,-0.31598995761682813,-0.03221696852939754,64.31095406360424
500,500.40.1,rank,14142.08110414259,6,6,3,-0.24919339410887323,-0.3723769071652821,0.12318351305640887,54.94880546075085
500,500.40.1,pullcount,14142.08110414259,6,6,3,-0.3853018778955687,-0.3180368373564254,-0.06726504053914328,55.67765567765568
