n,instance,pull_strategy,accept_strategy,bks,runs,expected_runs,rpd_pct,accept_rate_pct
200,200.10.2,random,always,1461.9667427714203,10,3,-0.36762214096285034,
200,200.10.2,random,selective,1461.9667427714203,10,3,-0.5286804754221128,38.21428571428571
200,200.10.2,topk,always,1461.9667427714203,10,3,-0.478164182734816,
200,200.10.2,topk,selective,1461.9667427714203,10,3,-0.42289006283074904,48.167539267015705
200,200.10.2,rank,always,1461.9667427714203,10,3,-0.40193004138919874,
200,200.10.2,rank,selective,1461.9667427714203,10,3,-0.6476477137450147,48.49557522123894
200,200.10.2,pullcount,always,1461.9667427714203,10,3,-0.41285420240696163,
200,200.10.2,pullcount,selective,1461.9667427714203,10,3,-0.4527313171823914,42.33449477351917
200,200.40.1,random,always,9462.397190153024,10,3,-0.5146414625491961,
200,200.40.1,random,selective,9462.397190153024,10,3,-0.49252569676853386,57.11252653927813
200,200.40.1,topk,always,9462.397190153024,10,3,-0.5240719512668062,
200,200.40.1,topk,selective,9462.397190153024,10,3,-0.563977790193502,53.86221294363257
200,200.40.1,rank,always,9462.397190153024,10,3,-0.6367887564489024,
200,200.40.1,rank,selective,9462.397190153024,10,3,-0.5359530901234848,60.887949260042284
200,200.40.1,pullcount,always,9462.397190153024,10,3,-0.5116919092696376,
200,200.40.1,pullcount,selective,9462.397190153024,10,3,-0.4620674183421256,63.50210970464135
500,500.10.2,random,always,1766.7385189018235,10,3,-0.5422613271879849,
500,500.10.2,random,selective,1766.7385189018235,10,3,-0.8443149111247084,37.841352405721715
500,500.10.2,topk,always,1766.7385189018235,10,3,-0.5050493776127203,
500,500.10.2,topk,selective,1766.7385189018235,10,3,-0.7151760004357113,54.89949748743719
500,500.10.2,rank,always,1766.7385189018235,10,3,-0.6515971578913636,
500,500.10.2,rank,selective,1766.7385189018235,10,3,-1.0124914407337129,44.7103274559194
500,500.10.2,pullcount,always,1766.7385189018235,10,3,-0.8780970386739814,
500,500.10.2,pullcount,selective,1766.7385189018235,10,3,-1.0713437327255102,49.54604409857328
500,500.40.1,random,always,14142.08110414259,10,3,-0.18737312163045122,
500,500.40.1,random,selective,14142.08110414259,10,3,-0.4360348784543323,45.45454545454545
500,500.40.1,topk,always,14142.08110414259,10,3,-0.3582566862578005,
500,500.40.1,topk,selective,14142.08110414259,7,3,-0.3940203315340116,66.26139817629179
500,500.40.1,rank,always,14142.08110414259,6,3,-0.24919339410887323,
500,500.40.1,rank,selective,14142.08110414259,6,3,-0.3723769071652821,54.94880546075085
500,500.40.1,pullcount,always,14142.08110414259,6,3,-0.3853018778955687,
500,500.40.1,pullcount,selective,14142.08110414259,6,3,-0.3180368373564254,55.67765567765568
