n,instance,segments,run,final_cost,final_rpd_pct,pull_request_count,pull_request_rate_per_million_evals
200,200.10.2,2,1,1455.8169841479562,-0.42064969356321497,136,0.11683731197083587
200,200.10.2,2,2,1444.2804667953624,-1.209759118222512,127,0.10910471988968382
200,200.10.2,2,3,1447.4962935403507,-0.9897933248220284,120,0.10309010165690011
200,200.10.2,4,1,1457.3723717534733,-0.31425961231084604,60,0.0515453217443219
200,200.10.2,4,2,1447.1808989696578,-1.01136663161935,59,0.050686787456471295
200,200.10.2,4,3,1442.9329663994065,-1.3019295046296233,56,0.048109054994150614
200,200.10.2,8,1,1444.1649171843558,-1.217662828178838,23,0.01975922917061463
200,200.10.2,8,2,1455.671670070521,-0.4305893230488824,24,0.020618312487393244
200,200.10.2,8,3,1441.6999526124157,-1.3862688914923775,22,0.01890003619228067
200,200.40.1,2,1,9423.5884038591,-0.4101369400801599,110,0.0944997304713051
200,200.40.1,2,2,9424.16023614709,-0.40409373267193355,112,0.09621858826168085
200,200.40.1,2,3,9472.970093405722,0.11173599078783637,112,0.0962183182093973
200,200.40.1,4,1,9392.358972711056,-0.7401741444002485,52,0.04467292657103929
200,200.40.1,4,2,9403.609085543267,-0.6212813035467873,51,0.043813814213666785
200,200.40.1,4,3,9399.759819853174,-0.6619609073801404,49,0.042095646468499955
200,200.40.1,8,1,9446.74010722373,-0.16546634657851345,19,0.016322778470086473
200,200.40.1,8,2,9408.406774561878,-0.5705786230082482,21,0.01804105842322804
200,200.40.1,8,3,9441.352617867387,-0.2224021235077353,21,0.0180410104538343
500,500.10.2,2,1,1747.510158961942,-1.088353467938968,172,0.01039395595725025
500,500.10.2,2,2,1754.371632805576,-0.6999839514414723,187,0.011300392988430998
500,500.10.2,2,3,1743.6048914289681,-1.3093973570709727,181,0.01093781359440511
500,500.10.2,4,1,1746.5787286351515,-1.1410737950742686,71,0.004290528012021131
500,500.10.2,4,2,1742.511716357672,-1.371272674759505,78,0.004713539439605835
500,500.10.2,4,3,1767.7678932695057,0.058264103978563665,89,0.005378257342428121
500,500.10.2,8,1,1751.2978900610394,-0.8739623139241725,27,0.0016316135075982571
500,500.10.2,8,2,1739.4673305008257,-1.5435893941990397,25,0.0015107486406785752
500,500.10.2,8,3,1753.8927084081085,-0.7270917770955523,27,0.0016316090510515747
500,500.40.1,2,1,14129.169352840585,-0.09130022099945699,120,0.007251585637818983
500,500.40.1,2,2,14062.92586309736,-0.5597142348592732,118,0.007130699559524041
500,500.40.1,2,3,14074.100609233075,-0.48069654253079397,122,0.007372470214664678
500,500.40.1,4,1,14059.737529420367,-0.5822592454098026,49,0.002961065195285509
500,500.40.1,4,2,13985.301509768424,-1.1086034171324393,48,0.0029006323394393024
500,500.40.1,4,3,14146.934694609687,0.0343201996322546,48,0.0029006364808979884
500,500.40.1,8,1,14092.838617747722,-0.3481983028681882,16,0.0009668754021964864
500,500.40.1,8,2,14075.670590024765,-0.46959505909191035,20,0.0012085951818246003
500,500.40.1,8,3,14051.187035949473,-0.642720597652993,14,0.0008460183906188178
200,200.20.3,2,1,3083.2606354620657,0.0,139,0.11941407051628697
200,200.20.3,2,2,3083.2606354620657,0.0,148,0.12714612358199953
200,200.20.3,2,3,3083.260685152256,1.611611736911256e-06,146,0.12542832882981056
200,200.20.3,4,1,3083.2606354620657,0.0,66,0.056700384718811274
200,200.20.3,4,2,3083.2606354620657,0.0,68,0.05841880639727408
200,200.20.3,4,3,3083.2606354620657,0.0,67,0.057559422167489986
200,200.20.3,8,1,3083.260685152256,1.611611736911256e-06,27,0.023195508249276756
200,200.20.3,8,2,3083.2606354620657,0.0,29,0.02491370489693526
200,200.20.3,8,3,3083.2606354620657,0.0,25,0.02147748026572653
500,500.30.4,2,1,8148.215408242391,-0.6018916654772875,148,0.008943634780521483
500,500.30.4,2,2,8163.537894985903,-0.41497635691226603,152,0.009185360306174329
500,500.30.4,2,3,8128.857366564423,-0.8380357323001337,152,0.0091853638741743
500,500.30.4,4,1,8152.0029142343565,-0.5556887962543914,68,0.004109226895028968
500,500.30.4,4,2,8149.1968861211335,-0.5899188542994591,67,0.004048785557067158
500,500.30.4,4,3,8147.722903246942,-0.6078996147570057,72,0.004350955318719196
500,500.30.4,8,1,8134.161673180673,-0.7733297792458972,20,0.0012086015841167553
500,500.30.4,8,2,8173.325210939955,-0.2955832575937437,28,0.0016920366242845325
500,500.30.4,8,3,8122.304515652124,-0.9179723751411875,25,0.0015107487925012746
