n,instance,tolerance,run,final_cost,final_rpd_pct,pull_offer_count,pull_accept_count,ar_pct
200,200.10.2,0.5,1,1455.8169841479566,-0.4206496935631839,58,23,39.6551724137931
200,200.10.2,0.5,2,1449.2516983893024,-0.8697218623464866,59,19,32.20338983050847
200,200.10.2,0.5,3,1443.5400750182744,-1.2604026626635068,53,17,32.075471698113205
200,200.10.2,0.5,4,1444.2804667953624,-1.209759118222512,56,21,37.5
200,200.10.2,0.5,5,1463.8990604779565,0.13217248039946114,57,19,33.33333333333333
200,200.10.2,0.5,6,1461.1948159674575,-0.05280057209095034,54,18,33.33333333333333
200,200.10.2,0.5,7,1444.9977372061655,-1.1606970985596397,53,25,47.16981132075472
200,200.10.2,0.5,8,1457.140090691464,-0.33014787127144835,59,19,32.20338983050847
200,200.10.2,0.5,9,1443.0230591559239,-1.2957670692005798,57,24,42.10526315789473
200,200.10.2,0.5,10,1476.1074583174998,0.9672392081418506,61,15,24.59016393442623
200,200.10.2,1,1,1458.2043870612697,-0.2573489259419381,59,29,49.152542372881356
200,200.10.2,1,2,1443.5400750182744,-1.2604026626635068,58,24,41.37931034482759
200,200.10.2,1,3,1441.6999526124157,-1.3862688914923775,54,19,35.18518518518518
200,200.10.2,1,4,1442.2283175832554,-1.3501281944859556,58,20,34.48275862068966
200,200.10.2,1,5,1465.8215633196703,0.2636736141440888,55,18,32.72727272727273
200,200.10.2,1,6,1465.7466578669541,0.2585500056156096,55,29,52.72727272727272
200,200.10.2,1,7,1449.266643688759,-0.8686995887872296,56,21,37.5
200,200.10.2,1,8,1460.8869845880374,-0.073856548975662,59,17,28.8135593220339
200,200.10.2,1,9,1452.0527980811755,-0.6781238177450672,58,24,41.37931034482759
200,200.10.2,1,10,1447.1808989696578,-1.01136663161935,56,23,41.07142857142857
200,200.10.2,2,1,1457.5062307083242,-0.30510352476557534,59,32,54.23728813559322
200,200.10.2,2,2,1443.5400750182744,-1.2604026626635068,58,24,41.37931034482759
200,200.10.2,2,3,1441.6999526124157,-1.3862688914923775,54,20,37.03703703703704
200,200.10.2,2,4,1448.717907676701,-0.9062336855627545,57,19,33.33333333333333
200,200.10.2,2,5,1465.2835140506677,0.22687050137405107,56,34,60.71428571428571
200,200.10.2,2,6,1461.910183169354,-0.003868733837204364,57,39,68.42105263157895
200,200.10.2,2,7,1449.266643688759,-0.8686995887872296,57,21,36.84210526315789
200,200.10.2,2,8,1455.325192770368,-0.4542887198967391,58,31,53.44827586206896
200,200.10.2,2,9,1462.0783177552623,0.007631841448768979,60,37,61.66666666666667
200,200.10.2,2,10,1452.5708814914992,-0.6426863898497118,54,32,59.25925925925925
200,200.40.1,0.5,1,9398.756272739334,-0.6725665403257138,51,21,41.17647058823529
200,200.40.1,0.5,2,9411.24420279933,-0.5405922656356752,51,18,35.294117647058826
200,200.40.1,0.5,3,9442.52129304374,-0.2100513930018546,49,24,48.97959183673469
200,200.40.1,0.5,4,9433.25951538558,-0.3079312163916125,46,20,43.47826086956522
200,200.40.1,0.5,5,9373.30068797262,-0.9415848900648739,46,19,41.30434782608695
200,200.40.1,0.5,6,9451.665503539987,-0.11341403660591051,47,26,55.319148936170215
200,200.40.1,0.5,7,9416.59710878404,-0.48402197084523946,44,12,27.27272727272727
200,200.40.1,0.5,8,9447.452262146417,-0.15794018900580184,45,16,35.55555555555556
200,200.40.1,0.5,9,9342.738132272036,-1.264574456941108,48,24,50.0
200,200.40.1,0.5,10,9453.10551476332,-0.09819578699754475,49,19,38.775510204081634
200,200.40.1,1,1,9398.756272739334,-0.6725665403257138,51,27,52.94117647058824
200,200.40.1,1,2,9411.24420279933,-0.5405922656356752,51,24,47.05882352941176
200,200.40.1,1,3,9410.034085156922,-0.5533809661952634,48,25,52.083333333333336
200,200.40.1,1,4,9434.139057260873,-0.2986360889770946,45,27,60.0
200,200.40.1,1,5,9373.30068797262,-0.9415848900648739,46,22,47.82608695652174
200,200.40.1,1,6,9407.656618245997,-0.5785063848724507,47,32,68.08510638297872
200,200.40.1,1,7,9416.59710878404,-0.48402197084523946,43,18,41.86046511627907
200,200.40.1,1,8,9447.452262146417,-0.15794018900580184,45,21,46.666666666666664
200,200.40.1,1,9,9373.817718194068,-0.9361208389258419,46,28,60.86956521739131
200,200.40.1,1,10,9407.267478330614,-0.5826188725176376,46,32,69.56521739130434
200,200.40.1,2,1,9398.756272739334,-0.6725665403257138,51,30,58.82352941176471
200,200.40.1,2,2,9403.325948528423,-0.6242735370068025,53,36,67.9245283018868
200,200.40.1,2,3,9424.139588071726,-0.4043119445578769,50,37,74.0
200,200.40.1,2,4,9419.89684446308,-0.44914988068956313,47,37,78.72340425531915
200,200.40.1,2,5,9398.35006818212,-0.6768593696061878,48,28,58.333333333333336
200,200.40.1,2,6,9429.098297870289,-0.3519075728229584,46,38,82.6086956521739
200,200.40.1,2,7,9379.193418678437,-0.8793096485230285,45,27,60.0
200,200.40.1,2,8,9447.452262146417,-0.15794018900580184,45,21,46.666666666666664
200,200.40.1,2,9,9398.117148655814,-0.6793208972891392,47,38,80.85106382978722
200,200.40.1,2,10,9407.654390599084,-0.5785299269714427,47,34,72.3404255319149
500,500.10.2,0.5,1,1756.8112646401428,-0.5618971995839711,74,27,36.486486486486484
500,500.10.2,0.5,2,1751.6049747781533,-0.8565808670474301,84,27,32.142857142857146
500,500.10.2,0.5,3,1750.0469141924605,-0.9447693889494313,74,31,41.891891891891895
500,500.10.2,0.5,4,1743.9870699466176,-1.2877654905802263,73,19,26.027397260273972
500,500.10.2,0.5,5,1744.1131983605248,-1.2806264367497995,75,24,32.0
500,500.10.2,0.5,6,1743.6987687567482,-1.304083762174177,72,38,52.77777777777778
500,500.10.2,0.5,7,1745.0959421468142,-1.2250016922969416,73,28,38.35616438356164
500,500.10.2,0.5,8,1750.4128441889384,-0.9240572126673763,81,25,30.864197530864196
500,500.10.2,0.5,9,1757.0592327983643,-0.5478618369330428,84,30,35.714285714285715
500,500.10.2,0.5,10,1753.4368735719456,-0.7528926996025377,72,32,44.44444444444444
500,500.10.2,1,1,1753.8338951663065,-0.7304206931277083,70,41,58.57142857142858
500,500.10.2,1,2,1746.7660547721039,-1.1304708600644622,81,26,32.098765432098766
500,500.10.2,1,3,1745.5585740874803,-1.1988160436728483,83,53,63.85542168674698
500,500.10.2,1,4,1739.4752682820529,-1.5431401041008033,76,30,39.473684210526315
500,500.10.2,1,5,1744.7143525807587,-1.246600223260803,75,33,44.0
500,500.10.2,1,6,1741.046737446736,-1.454192636896664,80,32,40.0
500,500.10.2,1,7,1746.0835164674893,-1.1691035324895154,80,32,40.0
500,500.10.2,1,8,1750.4128441889384,-0.9240572126673763,81,25,30.864197530864196
500,500.10.2,1,9,1749.9919474183557,-0.9478805892496833,75,38,50.66666666666667
500,500.10.2,1,10,1753.760973578733,-0.7345481622915591,75,30,40.0
500,500.10.2,2,1,1757.8720695459751,-0.501854080894753,74,36,48.64864864864865
500,500.10.2,2,2,1754.9625749547565,-0.666535756201584,86,49,56.97674418604651
500,500.10.2,2,3,1743.3078746381773,-1.3262089445024545,82,46,56.09756097560976
500,500.10.2,2,4,1743.7537515258532,-1.300971656533374,74,32,43.24324324324324
500,500.10.2,2,5,1740.6148197186403,-1.4786398158920093,76,38,50.0
500,500.10.2,2,6,1738.2742281972714,-1.611120740280512,77,56,72.72727272727273
500,500.10.2,2,7,1743.1876614809273,-1.3330131861015277,82,44,53.65853658536586
500,500.10.2,2,8,1751.5901924636096,-0.8574175678034025,80,30,37.5
500,500.10.2,2,9,1751.1894994371326,-0.8800973827386707,74,44,59.45945945945946
500,500.10.2,2,10,1755.7578740373076,-0.6215206578130897,77,47,61.038961038961034
500,500.40.1,0.5,1,14113.338044899263,-0.20324490456292862,49,29,59.183673469387756
500,500.40.1,0.5,2,14007.000283476249,-0.9551693253036978,48,29,60.416666666666664
500,500.40.1,0.5,3,14065.472669202503,-0.5417055267604539,42,16,38.095238095238095
500,500.40.1,0.5,4,14115.647490915939,-0.18691459221590573,47,22,46.808510638297875
500,500.40.1,0.5,5,14096.065468436329,-0.3253809348666611,42,21,50.0
500,500.40.1,0.5,6,14120.876963642208,-0.14993649339325826,48,21,43.75
500,500.40.1,0.5,7,14033.369275831965,-0.7687116734097934,48,19,39.58333333333333
500,500.40.1,0.5,8,14075.953409792792,-0.4675952136240208,42,22,52.38095238095239
500,500.40.1,0.5,9,14118.345312620306,-0.16783803845765616,47,21,44.680851063829785
500,500.40.1,0.5,10,14052.574913925184,-0.6329067805387352,40,11,27.500000000000004
500,500.40.1,1,1,14112.828771448028,-0.20684602555413387,52,32,61.53846153846154
500,500.40.1,1,2,14023.164841271671,-0.8408682003392308,47,31,65.95744680851064
