n,instance,pool_set,pool_size,strategy,run,final_cost,final_rpd_pct,pull_accept_count,pull_offer_count,ar_pct,pull_round_improved_count,er_pct,pool_diversity
200,200.10.2,po1,2,quality-only,1,1456.3636435274925,-0.38325764054701356,35,60,58.333333333333336,17,48.57142857142857,0.0
200,200.10.2,po1,2,quality-only,2,1460.3782954794763,-0.10865139715372966,16,60,26.666666666666668,15,93.75,0.0
200,200.10.2,po1,2,quality-only,3,1441.6999526124157,-1.3862688914923775,33,54,61.111111111111114,31,93.93939393939394,0.03788776641483113
200,200.10.2,po1,2,quality-only,4,1457.5062307083242,-0.30510352476557534,30,59,50.847457627118644,28,93.33333333333333,0.04984416728627279
200,200.10.2,po1,2,quality-only,5,1463.4743646047177,0.10312285424766005,28,57,49.122807017543856,20,71.42857142857143,0.0
200,200.10.2,po1,2,quality-only,6,1466.9900488143533,0.34359920071850575,31,56,55.35714285714286,21,67.74193548387096,0.0
200,200.10.2,po1,2,quality-only,7,1441.6999526124157,-1.3862688914923775,35,60,58.333333333333336,30,85.71428571428571,0.16215847298530098
200,200.10.2,po1,2,quality-only,8,1441.6999526124157,-1.3862688914923775,34,57,59.64912280701754,32,94.11764705882352,0.0
200,200.10.2,po1,2,quality-only,9,1456.3855374489358,-0.3817600742342686,32,58,55.172413793103445,28,87.5,0.0
200,200.10.2,po1,2,quality-only,10,1467.1769701187452,0.3563848065003173,26,59,44.06779661016949,23,88.46153846153845,0.19328023086387694
200,200.10.2,po1,2,td-crowding,1,1455.8169841479562,-0.42064969356321497,29,58,50.0,19,65.51724137931035,0.5156456189732941
200,200.10.2,po1,2,td-crowding,2,1441.6999526124157,-1.3862688914923775,25,59,42.3728813559322,25,100.0,0.5368165211664913
200,200.10.2,po1,2,td-crowding,3,1443.3924627673705,-1.2704994895327726,22,55,40.0,22,100.0,0.620477854144875
200,200.10.2,po1,2,td-crowding,4,1444.690783988786,-1.1816930082749046,32,53,60.37735849056604,32,100.0,0.5949642290857864
200,200.10.2,po1,2,td-crowding,5,1467.1761958308175,0.356331844424981,22,57,38.59649122807017,16,72.72727272727273,0.6155683382986108
200,200.10.2,po1,2,td-crowding,6,1463.294156481485,0.090796436829228,23,58,39.6551724137931,20,86.95652173913044,0.6168686527942425
200,200.10.2,po1,2,td-crowding,7,1441.2127196631498,-1.4195961167302313,30,60,50.0,29,96.66666666666667,0.4271037820506751
200,200.10.2,po1,2,td-crowding,8,1441.6999526124157,-1.3862688914923775,32,54,59.25925925925925,30,93.75,0.39338238503620815
200,200.10.2,po1,2,td-crowding,9,1454.4443853954094,-0.5145368328797193,24,57,42.10526315789473,22,91.66666666666666,0.6152812688675962
200,200.10.2,po1,2,td-crowding,10,1477.1077514277108,1.035660265950238,27,60,45.0,20,74.07407407407408,0.5254415415000019
200,200.10.2,po1,2,edge-crowding,1,1455.8169841479562,-0.42064969356321497,29,58,50.0,19,65.51724137931035,0.5156456189732941
200,200.10.2,po1,2,edge-crowding,2,1460.3782954794763,-0.10865139715372966,26,60,43.333333333333336,18,69.23076923076923,0.3931818479393836
200,200.10.2,po1,2,edge-crowding,3,1444.746142197949,-1.177906450924223,20,57,35.08771929824561,20,100.0,0.6206287056329178
200,200.10.2,po1,2,edge-crowding,4,1457.2381419631224,-0.3234410653784065,23,54,42.592592592592595,22,95.65217391304348,0.5996911243596977
200,200.10.2,po1,2,edge-crowding,5,1463.3610112089539,0.09536936762942343,32,56,57.14285714285714,26,81.25,0.6105190763864877
200,200.10.2,po1,2,edge-crowding,6,1446.6526795282114,-1.047497374268471,33,56,58.92857142857143,27,81.81818181818183,0.554955921866011
200,200.10.2,po1,2,edge-crowding,7,1441.6999526124157,-1.3862688914923775,21,53,39.62264150943396,21,100.0,0.5173867380291961
200,200.10.2,po1,2,edge-crowding,8,1450.028205741558,-0.816607976131571,19,59,32.20338983050847,18,94.73684210526315,0.48245973947107634
200,200.10.2,po1,2,edge-crowding,9,1452.0527980811755,-0.6781238177450672,34,57,59.64912280701754,25,73.52941176470588,0.506361485242941
200,200.10.2,po1,2,edge-crowding,10,1470.344987530216,0.573080393259376,28,60,46.666666666666664,20,71.42857142857143,0.4572602777542586
200,200.10.2,po1,2,random-target,1,1441.6999526124157,-1.3862688914923775,31,59,52.54237288135594,23,74.19354838709677,0.0
200,200.10.2,po1,2,random-target,2,1459.255642869139,-0.18544196820387304,33,59,55.932203389830505,28,84.84848484848484,0.4144307189899865
200,200.10.2,po1,2,random-target,3,1443.045314983308,-1.294244748156407,29,56,51.78571428571429,22,75.86206896551724,0.3085677247468243
200,200.10.2,po1,2,random-target,4,1451.604627241239,-0.7087791552999317,36,59,61.016949152542374,31,86.11111111111111,0.0
200,200.10.2,po1,2,random-target,5,1469.6213114882732,0.5235802219647183,18,56,32.142857142857146,18,100.0,0.0
200,200.10.2,po1,2,random-target,6,1468.910226115871,0.4749412651677733,32,58,55.172413793103445,24,75.0,0.050427657032078355
200,200.10.2,po1,2,random-target,7,1457.5062307083242,-0.30510352476557534,34,61,55.73770491803278,25,73.52941176470588,0.028472093512771707
200,200.10.2,po1,2,random-target,8,1457.5062307083242,-0.30510352476557534,14,59,23.728813559322035,14,100.0,0.0
