group,customers,instance,runs,field,avg_evaluations,avg_evaluations_per_worker,avg_workers,min_evaluations,max_evaluations,sum_evaluations
ims,6,6.5.1,10,total_evaluations_all_workers,19853114.30,3308852.38,6.00,19495648,20441657,198531143
ims,6,6.5.2,10,total_evaluations_all_workers,24475203.90,4079200.65,6.00,23954414,24799330,244752039
ims,6,6.5.3,10,total_evaluations_all_workers,20939793.70,3489965.62,6.00,20321273,21133205,209397937
ims,6,6.5.4,10,total_evaluations_all_workers,22340912.10,3723485.35,6.00,21810608,22621312,223409121
ims,6,6.10.1,10,total_evaluations_all_workers,21736349.40,3622724.90,6.00,21223202,22080716,217363494
ims,6,6.10.2,10,total_evaluations_all_workers,21981613.60,3663602.27,6.00,21607932,22330765,219816136
ims,6,6.10.3,10,total_evaluations_all_workers,21752180.90,3625363.48,6.00,21239042,21931332,217521809
ims,6,6.10.4,10,total_evaluations_all_workers,22714920.10,3785820.02,6.00,22427153,23007869,227149201
ims,6,6.20.1,10,total_evaluations_all_workers,25138219.50,4189703.25,6.00,24961079,25291096,251382195
ims,6,6.20.2,10,total_evaluations_all_workers,19626297.10,3271049.52,6.00,19164603,20171774,196262971
ims,6,6.20.3,10,total_evaluations_all_workers,24561295.90,4093549.32,6.00,23953337,24904281,245612959
ims,6,6.20.4,10,total_evaluations_all_workers,23826855.80,3971142.63,6.00,23458600,24079610,238268558
ims,10,10.5.1,10,total_evaluations_all_workers,29717749.80,4952958.30,6.00,29003342,30291377,297177498
ims,10,10.5.2,10,total_evaluations_all_workers,31461463.60,5243577.27,6.00,31112937,31824585,314614636
ims,10,10.5.3,10,total_evaluations_all_workers,28038232.70,4673038.78,6.00,27630526,28361868,280382327
ims,10,10.5.4,10,total_evaluations_all_workers,32465311.20,5410885.20,6.00,31755382,33198400,324653112
ims,10,10.10.1,10,total_evaluations_all_workers,28644611.50,4774101.92,6.00,28150512,29022790,286446115
ims,10,10.10.2,10,total_evaluations_all_workers,25545998.60,4257666.43,6.00,24949257,25789013,255459986
ims,10,10.10.3,10,total_evaluations_all_workers,28360472.80,4726745.47,6.00,27566016,28675933,283604728
ims,10,10.10.4,10,total_evaluations_all_workers,27531620.30,4588603.38,6.00,27050531,28102391,275316203
ims,10,10.20.1,10,total_evaluations_all_workers,34026667.70,5671111.28,6.00,33297644,34382709,340266677
ims,10,10.20.2,10,total_evaluations_all_workers,39511812.10,6585302.02,6.00,38519264,39897664,395118121
ims,10,10.20.3,10,total_evaluations_all_workers,36690403.80,6115067.30,6.00,35806332,37335881,366904038
ims,10,10.20.4,10,total_evaluations_all_workers,40695038.80,6782506.47,6.00,39477360,41598422,406950388
ims,12,12.5.1,10,total_evaluations_all_workers,31639887.20,5273314.53,6.00,30955962,32324090,316398872
ims,12,12.5.2,10,total_evaluations_all_workers,32441986.30,5406997.72,6.00,31655915,32825260,324419863
ims,12,12.5.3,10,total_evaluations_all_workers,30037926.30,5006321.05,6.00,29501667,30292243,300379263
ims,12,12.5.4,10,total_evaluations_all_workers,30910998.30,5151833.05,6.00,30384293,31284016,309109983
ims,12,12.10.1,10,total_evaluations_all_workers,31659217.90,5276536.32,6.00,31167646,32069450,316592179
ims,12,12.10.2,10,total_evaluations_all_workers,30409604.30,5068267.38,6.00,29575177,30908688,304096043
