group,customers,instance,runs,avg_evaluations,min_evaluations,max_evaluations,sum_evaluations
ims,100,100.10.1,10,58714058.00,58389580,59070373,587140580
ims,100,100.20.2,10,59905791.30,59269804,60380208,599057913
ims,100,100.30.3,10,63035082.40,62466244,63611314,630350824
ims,100,100.40.4,10,63751130.90,63286793,64097013,637511309
ims,200,200.10.1,10,190314307.80,189464915,191333739,1903143078
ims,200,200.20.2,10,189389229.50,188644570,190337121,1893892295
ims,200,200.30.3,10,196026216.50,195239246,197432700,1960262165
ims,200,200.40.4,10,202793699.90,202084177,203586442,2027936999
ims,500,500.10.1,10,2394308073.50,2373807291,2414246230,23943080735
ims,500,500.20.2,10,2345194670.30,2333718255,2359366664,23451946703
ims,500,500.30.3,10,2981793209.10,2950606613,3003634402,29817932091
ims,500,500.40.4,10,3311675573.90,3288839242,3327024734,33116755739
ims,1000,1000.10.1,10,10032920119.70,9887514235,10124350735,100329201197
ims,1000,1000.20.2,10,9757488609.60,9535435435,9977151659,97574886096
ims,1000,1000.30.3,10,13351979586.70,13257111025,13434299430,133519795867
ims,1000,1000.40.4,10,14762889152.50,14537225430,14864609776,147628891525
sats,100,100.10.1,10,66362149.70,63629660,67734996,663621497
sats,100,100.20.2,10,67613470.50,64322996,68962416,676134705
sats,100,100.30.3,10,72505498.50,71781500,73114220,725054985
sats,100,100.40.4,10,73382559.20,72891532,73724256,733825592
sats,200,200.10.1,10,218917315.80,217514077,219583521,2189173158
sats,200,200.20.2,10,215953427.50,206478922,218180193,2159534275
sats,200,200.30.3,10,225250069.20,223962477,226413666,2252500692
sats,200,200.40.4,10,232920931.10,231708235,234346250,2329209311
sats,500,500.10.1,10,2980858823.00,2966462128,2995517763,29808588230
sats,500,500.20.2,10,2759666388.20,2663213971,2891547602,27596663882
sats,500,500.30.3,10,3451150135.50,3261898928,3568670770,34511501355
sats,500,500.40.4,10,3818328074.50,3699406802,3855837359,38183280745
sats,1000,1000.10.1,10,13996291925.60,13866271976,14097061566,139962919256
sats,1000,1000.20.2,10,13584961501.00,12563402495,13785393151,135849615010
sats,1000,1000.30.3,10,17158068143.40,17019707572,17326270452,171580681434
sats,1000,1000.40.4,10,18620676127.30,17458720439,18930160476,186206761273
